strain	author	submitting_lab
A/pheasant/Scotland/000348/2021	?	Animal And Plant Health Agency (apha)
A/Canadagoose/England/385250/2021	?	Animal And Plant Health Agency (apha)
A/muteswan/England/053054/2021	?	Animal And Plant Health Agency (apha)
A/chicken/England/011981/2022	?	Animal And Plant Health Agency (apha)
A/Muscovyduck/England/074477/2021	?	Animal And Plant Health Agency (apha)
A/domesticduck/England/058612/2021	?	Animal And Plant Health Agency (apha)
A/turkey/England/055251/2021	?	Animal And Plant Health Agency (apha)
A/chicken/England/012967/2022	?	Animal And Plant Health Agency (apha)
A/turkey/England/112259/2022	?	Animal And Plant Health Agency (apha)
A/chicken/Wales/116603/2022	?	Animal And Plant Health Agency (apha)
A/Greylaggoose/England/054503/2021	?	Animal And Plant Health Agency (apha)
A/chicken/England/057314/2021	?	Animal And Plant Health Agency (apha)
A/turkey/England/056764/2021	?	Animal And Plant Health Agency (apha)
A/muteswan/England/117298/2022	?	Animal And Plant Health Agency (apha)
A/chicken/England/123975/2022	?	Animal And Plant Health Agency (apha)
A/chicken/England/022451/2023	?	Animal And Plant Health Agency (apha)
A/muteswan/England/122962/2023	?	Animal And Plant Health Agency (apha)
A/commonbuzzard/England/122650/2023	?	Animal And Plant Health Agency (apha)
A/Chicken/Scotland/015627/2023	?	Animal And Plant Health Agency (apha)
A/chicken/Scotland/026217/2023	?	Animal And Plant Health Agency (apha)
A/Chicken/Scotland/017391/2023	?	Animal And Plant Health Agency (apha)
A/chicken/Wales/023780/2023	?	Animal And Plant Health Agency (apha)
A/Domesticduck/Wales/020076/2023	?	Animal And Plant Health Agency (apha)
A/GreylagGoose/England/175256/2022	?	Animal And Plant Health Agency (apha)
A/Bushdog/England/037680/2022	?	Animal And Plant Health Agency (apha)
A/greylaggoose/England/321390/2023	?	Animal And Plant Health Agency (apha)
A/greylaggoose/England/123200/2023	?	Animal And Plant Health Agency (apha)
A/chicken/Nepal/T9-BH/2011	?	Animal And Plant Health Agency (apha)
A/chicken/Nepal/PT-17/2012	?	Animal And Plant Health Agency (apha)
A/chicken/Nepal/PT-16/2012	?	Animal And Plant Health Agency (apha)
A/chicken/Nepal/T-260/2013	?	Animal And Plant Health Agency (apha)
A/chicken/Nepal/T-299/2013	?	Animal And Plant Health Agency (apha)
A/chicken/Nepal/T-273/2013	?	Animal And Plant Health Agency (apha)
A/chicken/Nepal/T-301/2013	?	Animal And Plant Health Agency (apha)
A/chicken/Nepal/T-279/2013	?	Animal And Plant Health Agency (apha)
A/chicken/Nepal/T-272/2013	?	Animal And Plant Health Agency (apha)
A/chicken/Nepal/T-278/2013	?	Animal And Plant Health Agency (apha)
A/chicken/Nepal/PT-1/2012	?	Animal And Plant Health Agency (apha)
A/chicken/Nepal/T-359/2014	?	Animal And Plant Health Agency (apha)
A/mynah/Austria-quarantine/13063485-025/2013	?	Animal And Plant Health Agency (apha)
A/mynah/Austria-quarantine/13063485-026/2013	?	Animal And Plant Health Agency (apha)
A/mynah/Austria-quarantine/13064792-010/2013	?	Animal And Plant Health Agency (apha)
A/quail/Korea/H526/2021	?	Animal And Plant Quarantine Agency (apqa)
A/mandarinduck/Korea/WA585/2021	?	Animal And Plant Quarantine Agency (apqa)
A/chicken/Lao/NL1500466/2015	?	Animal And Plant Quarantine Agency (s 2158)
A/duck/Lao/NL1501256/2017	?	Animal And Plant Quarantine Agency (s 2158)
A/chicken/Lao/NL1501255/2017	?	Animal And Plant Quarantine Agency (s 2158)
A/chicken/Lao/NL1500548/2016	?	Animal And Plant Quarantine Agency (s 2158)
A/chicken/Lao/NL1502337/2017	?	Animal And Plant Quarantine Agency (s 2158)
A/chicken/Lao/NL1501199/2017	?	Animal And Plant Quarantine Agency (s 2158)
A/quail/Lao/NL1501146/2017	?	Animal And Plant Quarantine Agency (s 2158)
A/duck/Lao/NL1503024/2017	?	Animal And Plant Quarantine Agency (s 2158)
A/duck/Lao/NL1504599/2018	?	Animal And Plant Quarantine Agency (s 2158)
A/chicken/Lao/NL1810600/2018	?	Animal And Plant Quarantine Agency (s 2158)
A/chicken/Lao/NL1810601/2018	?	Animal And Plant Quarantine Agency (s 2158)
A/chicken/Lao/NL1810602/2018	?	Animal And Plant Quarantine Agency (s 2158)
A/chicken/Cambodia/10/2018	?	Animal And Plant Quarantine Agency (s 2158)
A/chicken/Cambodia/11/2018	?	Animal And Plant Quarantine Agency (s 2158)
A/chicken/Cambodia/02/2018	?	Animal And Plant Quarantine Agency (s 2158)
A/chicken/Cambodia/03/2018	?	Animal And Plant Quarantine Agency (s 2158)
A/chicken/Cambodia/09/2018	?	Animal And Plant Quarantine Agency (s 2158)
A/chicken/Cambodia/01/2018	?	Animal And Plant Quarantine Agency (s 2158)
A/chicken/Cambodia/12/2018	?	Animal And Plant Quarantine Agency (s 2158)
A/chicken/Cambodia/14/2019	?	Animal And Plant Quarantine Agency (s 2158)
A/chicken/Cambodia/13/2019	?	Animal And Plant Quarantine Agency (s 2158)
A/pelican/France/21P013720/2021	?	Anses Agence Nationale De Securite Sanitaire De L’alimentation
A/swan/France/21P012384/2021	?	Anses Agence Nationale De Securite Sanitaire De L’alimentation
A/egret/France/21P013418/2021	?	Anses Agence Nationale De Securite Sanitaire De L’alimentation
A/goose/France/21P014207/2021	?	Anses Agence Nationale De Securite Sanitaire De L’alimentation
A/chicken/France/21P013076/2021	?	Anses Agence Nationale De Securite Sanitaire De L’alimentation
A/goose/France/21P013228/2021	?	Anses Agence Nationale De Securite Sanitaire De L’alimentation
A/mallard/France/22P019377/2022	?	Anses Agence Nationale De Securite Sanitaire De L’alimentation
A/fox/France/23P002844/2023	?	Anses Agence Nationale De Securite Sanitaire De L’alimentation
A/vulture/France/22P018210/2022	?	Anses Agence Nationale De Securite Sanitaire De L’alimentation
A/turkey/France/22P024731/2022	?	Anses Agence Nationale De Securite Sanitaire De L’alimentation
A/duck/France/22P024591/2022	?	Anses Agence Nationale De Securite Sanitaire De L’alimentation
A/duck/France/22P025078/2022	?	Anses Agence Nationale De Securite Sanitaire De L’alimentation
A/duck/France/22P025647/2022	?	Anses Agence Nationale De Securite Sanitaire De L’alimentation
A/duck/France/22P025252/2022	?	Anses Agence Nationale De Securite Sanitaire De L’alimentation
A/duck/France/22P025498/2022	?	Anses Agence Nationale De Securite Sanitaire De L’alimentation
A/cat/France/22P026544/2022	?	Anses Agence Nationale De Securite Sanitaire De L’alimentation
A/bear/France/23P002848/2022	?	Anses Agence Nationale De Securite Sanitaire De L’alimentation
A/Environment/EastJava/LBM-LM13/2012	?	Bbalitvet
A/duck/Vietnam/NCVD-375/2009	?	Centers For Disease Control And Prevention
A/chicken/Vietnam/NCVD-292/2009	?	Centers For Disease Control And Prevention
A/poultry/Vietnam/NCVD-416/2010	?	Centers For Disease Control And Prevention
A/chicken/Vietnam/NCVD-406/2010	?	Centers For Disease Control And Prevention
A/chicken/Vietnam/NCVD-405/2010	?	Centers For Disease Control And Prevention
A/muscovyduck/Vietnam/NCVD-66/2007	?	Centers For Disease Control And Prevention
